city,state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
Arlington Heights,IL,1924.073906485671,129495.56973666263,10791.297478055218,0.603121888219749,12,60.3121888219749,Severely Burdened
Arnold,MD,2697.85,126349.20996938385,10529.100830781988,0.8296893383741163,6,82.96893383741163,Severely Burdened
Arnold,MO,1523.3333333333333,109264.06493630297,9105.338744691913,0.44525510163020887,6,44.52551016302089,Burdened
Arroyo Grande,CA,2885.8333333333335,133275.59530870614,11106.299609058844,0.8321171045101305,6,83.21171045101306,Severely Burdened
Artesia,CA,2705.0,114932.96986364044,9577.747488636704,0.7714399301729283,6,77.14399301729283,Severely Burdened
Artesia,NM,2800.0,125355.40216910467,10446.283514092056,0.8098513406344735,6,80.98513406344735,Severely Burdened
Arundel,ME,2650.0,137832.06860180132,11486.005716816777,0.786271500524375,6,78.6271500524375,Severely Burdened
Arvada,CO,2434.413054918937,123996.97171566181,10333.08097630515,0.5775405747972302,17,57.754057479723016,Severely Burdened
Ashburn,VA,2879.5477328844,131776.1115045301,10981.342625377509,0.674477258977105,11,67.4477258977105,Severely Burdened
Asheboro,NC,975.2190476190476,125194.00593793708,10432.833828161425,0.27461670160552126,6,27.461670160552128,Affordable
Asheville,NC,1736.024375429429,140880.78884202117,11740.065736835099,0.49833326344396567,30,49.83332634439657,Burdened
Ashland,MA,2687.920634920635,144350.44444492483,12029.203703743735,0.41127033032459737,5,41.127033032459735,Burdened
Ashland,OH,887.0,137173.94174568678,11431.161812140563,0.2568399909896,6,25.683999098959998,Affordable
Ashland,OR,1980.0297619047624,137950.86545049472,11495.90545420789,0.5910775174845369,6,59.10775174845369,Severely Burdened
Ashland,VA,1845.361111111111,123147.26697807123,10262.272248172603,0.5384649046219189,6,53.84649046219189,Severely Burdened
Ashland City,TN,1664.888888888889,117185.49813220331,9765.45817768361,0.4752151852225508,6,47.52151852225508,Burdened
Ashtabula,OH,672.5,151414.68185686864,12617.89015473905,0.19328893347182718,6,19.328893347182717,Affordable
Aspen,CO,18040.88888888889,729849.3113650944,60820.77594709119,1.3903337560149556,3,139.03337560149555,Severely Burdened
Aston,PA,1787.5,110647.30692991537,9220.60891082628,0.5298936155841062,6,52.98936155841062,Severely Burdened
Astoria,OR,1740.8333333333333,120950.89424719421,10079.241187266185,0.5020488244326183,6,50.20488244326183,Severely Burdened
Atascadero,CA,2442.5,112565.39551618807,9380.449626349007,0.7037845946998983,6,70.37845946998983,Severely Burdened
Atascocita,TX,1816.8933782267115,129751.6256798852,10812.635473323768,0.5128971839839019,6,51.28971839839019,Severely Burdened
Athens,AL,1245.138888888889,114102.45704127203,9508.538086772669,0.34838677539040336,6,34.83867753904033,Borderline
Athens,GA,1726.1837199766721,147972.00327894583,12331.000273245487,0.4844772953571197,24,48.44772953571197,Burdened
Athens,OH,796.725,120666.39426291305,10055.532855242755,0.2312832795328691,6,23.12832795328691,Affordable
Athens,PA,912.5,118796.66840361286,9899.722366967739,0.27313133900530995,6,27.313133900530996,Affordable
Athens,TN,1259.722222222222,119608.0026676928,9967.333555641066,0.3626877338756585,6,36.26877338756585,Borderline
Athens,TX,1193.9444444444443,146384.73066178977,12198.727555149148,0.3327835506072913,6,33.27835506072913,Borderline
Athol,MA,1325.0,112936.25900116144,9411.354916763454,0.3832349577766574,6,38.32349577766574,Borderline
Atlanta,GA,1877.1510422443707,150702.15288242258,12558.51274020188,0.5399374753636397,144,53.99374753636397,Severely Burdened
Atlantic City,NJ,1801.411904761905,119619.8461985477,9968.320516545644,0.5109936731545722,6,51.09936731545722,Severely Burdened
Atlantic Highlands,NJ,2530.5,139572.63708049478,11631.053090041232,0.7799480429381925,6,77.99480429381926,Severely Burdened
Attleboro,MA,2258.9821428571427,110349.49784047726,9195.791486706437,0.6881220834920171,6,68.81220834920171,Severely Burdened
Atwater,CA,1724.1666666666667,116439.83492952057,9703.319577460048,0.47893301463166177,6,47.893301463166175,Burdened
Aubrey,TX,1689.2566328529065,117220.28416496002,9768.357013746667,0.4765483179949894,6,47.65483179949894,Burdened
Auburn,AL,1748.5410052910054,126697.15988148625,10558.096656790522,0.5028023170638507,12,50.28023170638507,Severely Burdened
Auburn,CA,2058.9296296296293,132046.2318737389,11003.852656144909,0.5987550648362615,12,59.875506483626154,Severely Burdened
Auburn,GA,2170.790476190476,113281.13969430847,9440.094974525708,0.6257442217469943,6,62.57442217469943,Severely Burdened
Auburn,ME,1543.888888888889,126995.28908128018,10582.940756773349,0.4480413771226146,6,44.80413771226146,Burdened
Auburn,NY,1166.6666666666667,150253.21385923438,12521.101154936196,0.3350787760695728,6,33.50787760695728,Borderline
Auburn,WA,2055.2904411764707,112359.38406197121,9363.282005164268,0.5816107524160522,12,58.16107524160522,Severely Burdened
Auburn Hills,MI,1646.3333333333333,146863.85968384153,12238.65497365346,0.47606040235781305,6,47.60604023578131,Burdened
Auburndale,FL,1844.0277777777776,121447.40295179213,10120.616912649346,0.5098276519282188,6,50.98276519282188,Severely Burdened
Augusta,GA,1370.7152882956761,131835.56271492076,10986.296892910063,0.3846321185744757,24,38.46321185744757,Borderline
Augusta,ME,1529.8333333333333,116980.18637629862,9748.34886469155,0.45201363839749004,6,45.20136383974901,Burdened
Aurora,CO,1920.8946851769274,108329.17464741207,9027.431220617673,0.5582402182520093,60,55.82402182520093,Severely Burdened
Aurora,IL,2260.6582968532443,110230.8607348488,9185.9050612374,0.6709588802721312,30,67.09588802721312,Severely Burdened
Austell,GA,1841.8857118758435,104321.8780757847,8693.489839648724,0.5208825354278984,12,52.08825354278984,Severely Burdened
Austin,AR,1122.5,122119.24395009661,10176.60366250805,0.3147889919118954,6,31.47889919118954,Borderline
Austin,MN,992.2420634920636,142279.22063151715,11856.601719293098,0.284216566923604,6,28.421656692360397,Affordable
Austin,TX,1750.2808489637866,144372.47282056333,12031.03940171361,0.4733948725488558,225,47.33948725488558,Burdened
Austintown,OH,1375.0,119186.56250705861,9932.213542254884,0.3826742191802452,6,38.26742191802452,Borderline
Aventura,FL,3053.314465981133,223567.1595875063,18630.59663229219,0.46562554328198696,5,46.562554328198694,Burdened
Avon,CT,1825.0,151240.40921499528,12603.36743458294,0.5889074225976226,6,58.89074225976226,Severely Burdened
Avon,IN,1901.32634032634,123595.97655721397,10299.664713101163,0.5724895150960286,6,57.24895150960286,Severely Burdened
Avon,OH,2099.111111111111,126204.3486633553,10517.029055279609,0.6771452282965397,6,67.71452282965397,Severely Burdened
Avon Park,FL,1313.8888888888887,132407.3339651581,11033.944497096507,0.36851990643289145,6,36.85199064328914,Borderline
Avondale,AZ,1801.109885361552,106703.26483519019,8891.938736265849,0.4940878669030037,12,49.408786690300374,Burdened
Azle,TX,1809.5873015873015,121422.3599633675,10118.529996947293,0.5175097567974771,6,51.75097567974771,Severely Burdened
Azusa,CA,2846.5844155844156,118616.2424791756,9884.686873264634,0.8048159398239388,6,80.48159398239389,Severely Burdened
Babylon,NY,2675.0,132246.9130313909,11020.576085949242,0.8266366613643455,6,82.66366613643456,Severely Burdened
Bacliff,TX,1683.3333333333333,152933.6298223782,12744.469151864852,0.4745501084776689,6,47.455010847766886,Burdened
Bainbridge Island,WA,3092.0436507936506,184201.94706415734,15350.162255346446,0.4690888764500902,5,46.90888764500902,Burdened
Baker,LA,1160.0,105254.28540637577,8771.190450531314,0.3146820030696024,6,31.46820030696024,Borderline
Bakersfield,CA,1893.8004211385428,126013.43488016653,10501.11957334721,0.5318055398616636,54,53.18055398616636,Severely Burdened
Bal Harbour,FL,3810.576441102757,613628.5095651342,51135.709130427844,0.5706402611842103,5,57.064026118421026,Severely Burdened
Bala-Cynwyd,PA,2174.679744816587,148758.7198207432,12396.559985061933,0.7075327536519312,6,70.75327536519312,Severely Burdened
Balch Springs,TX,1855.3333333333333,133786.2337332877,11148.852811107305,0.5069173109042842,6,50.69173109042842,Severely Burdened
Baldwin Park,CA,2742.0833333333335,116001.12135255076,9666.760112712562,0.7723518394257439,6,77.2351839425744,Severely Burdened
Baldwinsville,NY,1806.8,117849.78029850603,9820.815024875503,0.5406235039741053,6,54.06235039741053,Severely Burdened
Ball Ground,GA,2139.0,124769.06734911418,10397.422279092847,0.6304318850371419,6,63.043188503714184,Severely Burdened
Ballston Spa,NY,1999.4589947089944,114187.69646048108,9515.641371706755,0.5953532991215326,6,59.53532991215326,Severely Burdened
Ballwin,MO,1738.2511904761905,114861.30892681376,9571.775743901146,0.5333851851479258,12,53.338518514792575,Severely Burdened
Baltimore,MD,1726.981050933125,123099.13382145892,10258.261151788241,0.5078493477897542,120,50.78493477897542,Severely Burdened
Bangor,ME,1547.830808080808,129547.7738008543,10795.64781673786,0.46083120056694127,6,46.08312005669413,Burdened
Bangor,PA,1308.3333333333333,115816.43210360924,9651.369341967436,0.38886616108141153,6,38.886616108141155,Borderline
Bangor Township,MI,1068.75,125925.4266944555,10493.78555787129,0.31718374552441236,6,31.718374552441237,Borderline
Banner Elk,NC,1797.5,126903.57238378265,10575.297698648554,0.5137158901550507,6,51.37158901550507,Severely Burdened
Banning,CA,2054.1666666666665,106638.20146462078,8886.5167887184,0.5838517288746422,6,58.38517288746422,Severely Burdened
Baraboo,WI,1472.875,120213.88202993752,10017.823502494794,0.4302359183303212,6,43.02359183303212,Burdened
Barberton,OH,1252.7555555555557,116074.12998117477,9672.844165097898,0.3570181111777518,6,35.70181111777518,Borderline
Barboursville,VA,2910.75,113786.33505353256,9482.19458779438,0.8384045114307908,6,83.84045114307908,Severely Burdened
Bargersville,IN,1585.25,141166.64296935833,11763.886914113195,0.4948042204435887,6,49.48042204435887,Burdened
Barnegat,NJ,2572.5,115566.7135374164,9630.559461451367,0.7565280997923178,6,75.65280997923179,Severely Burdened
Barnstable,MA,2783.25,176065.74527733948,14672.14543977829,0.42944856530162223,5,42.94485653016223,Burdened
Barre,VT,1425.0,128180.73758008999,10681.728131674166,0.43688873142659784,6,43.68887314265979,Burdened
Barrington,IL,2679.6666666666665,209550.06134835773,17462.505112363142,0.4033692580170795,5,40.33692580170795,Burdened
Barstow,CA,1429.370573870574,109292.67431945507,9107.72285995459,0.3971808174610964,6,39.71808174610964,Borderline
Bartlesville,OK,1145.1888888888889,120627.6755280611,10052.30629400509,0.3328674559262275,12,33.28674559262275,Borderline
